date,nyse_advances,nyse_declines,nyse_unchanged,nyse_new_highs,nyse_new_lows,nasdaq_advances,nasdaq_declines,nasdaq_new_highs,nasdaq_new_lows,nyse_ad_line,nyse_down_vol,nyse_trin,nyse_highs_alt
2005-11-21,,,,13.8181,11.5062,,,,,29.9066,,,
2005-11-22,,,,13.8811,11.5524,,,,,29.9366,,,
2005-11-23,,,,13.9548,11.5975,,,,,30.0566,,,
2005-11-25,,,,13.9374,11.6446,,,,,30.2958,,,
2005-11-28,,,,13.7134,11.184,,,,,30.2658,,,
2005-11-29,,,,13.6561,11.1002,,,,,30.4157,,,
2005-11-30,,,,13.6474,11.3527,,,,,30.3857,,,
2005-12-01,,,,13.7939,11.3696,,,,,30.5949,,,
2005-12-02,,,,13.7085,11.5843,,,,,30.8941,,,
2005-12-05,,,,13.7134,11.6361,,,,,30.5887,,,
2005-12-06,,,,13.6619,11.6606,,,,,30.0866,,,
2005-12-07,,,,13.4834,11.6145,,,,,30.2958,,,
2005-12-08,,,,13.6823,11.4911,,,,,30.0503,,,
2005-12-09,,,,13.6823,11.4836,,,,,30.0984,,,
2005-12-12,,,,13.3331,11.3912,,,,,30.1166,,,
2005-12-13,,,,13.1255,11.3611,,,,,30.0803,,,
2005-12-14,,,,13.2817,11.201,,,,,29.9966,,,
2005-12-15,,,,13.1507,10.7987,,,,,29.2428,,,
2005-12-16,,,,13.1683,10.9155,,,,,29.6382,,,
2005-12-19,,,,13.0867,10.6085,,,,,29.6974,,,
2005-12-20,,,,13.1469,10.7545,,,,,29.961,,,
2005-12-21,,,,13.2371,11.0551,,,,,30.0866,,,
2005-12-22,,,,13.3166,11.1228,,,,,30.7442,,,
2005-12-23,,,,13.2992,11.3376,,,,,30.475,,,
2005-12-27,,,,13.1565,11.0079,,,,,30.1758,,,
2005-12-28,,,,12.9441,11.2527,,,,,29.8774,,,
2005-12-29,,,,12.9297,11.2141,,,,,29.8948,,,
2005-12-30,,,,12.8094,10.8072,,,,,29.5482,,,
2006-01-03,,,,12.8094,11.201,,,,,29.7874,,,
2006-01-04,,,,12.8132,11.1153,,,,,30.0029,,,
2006-01-05,,,,12.8607,11.0625,,,,,30.3732,,,
2006-01-06,,,,12.9607,11.0305,,,,,30.8397,,,
2006-01-09,,,,13.0674,10.8544,,,,,30.9241,,,
2006-01-10,,,,13.2099,10.8232,,,,,30.7923,,,
2006-01-11,,,,13.1876,10.7715,,,,,30.9116,,,
2006-01-12,,,,13.1731,10.7017,,,,,30.8641,,,
2006-01-13,,,,13.1178,10.7715,,,,,30.906,,,
2006-01-17,,,,12.9849,10.7167,,,,,30.9116,,,
2006-01-18,,,,13.1129,10.6706,,,,,30.7742,,,
2006-01-19,,,,13.2768,10.6406,,,,,30.6187,,,
2006-01-20,,,,13.0286,10.4342,,,,,30.2776,,,
2006-01-23,,,,13.1837,10.3843,,,,,30.1465,,,
2006-01-24,,,,13.3079,10.4784,,,,,30.2177,,,
2006-01-25,,,,13.2817,10.6085,,,,,30.2958,,,
2006-01-26,,,,13.3651,10.5924,,,,,30.475,,,
2006-01-27,,,,13.5795,10.4484,,,,,30.4513,,,
2006-01-30,,,,13.3749,10.2864,,,,,30.445,,,
2006-01-31,,,,13.5213,10.3334,,,,,30.445,,,
2006-02-01,,,,13.5058,10.4258,,,,,30.2658,,,
2006-02-02,,,,13.2497,10.3636,,,,,30.5712,,,
2006-02-03,,,,13.0548,10.4172,,,,,30.445,,,
2006-02-06,,,,13.1925,10.0414,,,,,30.7923,,,
2006-02-07,,,,12.8859,10.194,,,,,30.4513,,,
2006-02-08,,,,12.8773,10.7874,,,,,30.8523,,,
2006-02-09,,,,12.8414,10.6622,,,,,30.7142,,,
2006-02-10,,,,12.8549,10.6706,,,,,30.8397,,,
2006-02-13,,,,12.9179,10.4097,,,,,30.4157,,,
2006-02-14,,,,13.0548,10.7375,,,,,30.9834,,,
2006-02-15,,,,13.2448,10.8072,,,,,31.3725,,,
2006-02-16,,,,13.3438,11.0145,,,,,31.869,,,
2006-02-17,,,,13.2768,11.1153,,,,,32.1557,,,
2006-02-21,,,,13.1731,11.0145,,,,,32.0483,,,
2006-02-22,,,,13.305,10.1347,,,,,32.3056,,,
2006-02-23,,,,13.2245,9.66552,,,,,32.3412,,,
2006-02-24,,,,13.1789,9.60343,,,,,33.2024,,,
2006-02-27,,,,13.2294,9.71926,,,,,33.1968,,,
2006-02-28,,,,13.1371,10.1186,,,,,32.8677,,,
2006-03-01,,,,13.0606,10.2261,,,,,33.2568,,,
2006-03-02,,,,12.8724,10.0866,,,,,33.436,,,
2006-03-03,,,,12.9364,10.0028,,,,,33.1187,,,
2006-03-06,,,,12.9297,9.78051,,,,,33.9381,,,
2006-03-07,,,,12.8248,9.67967,,,,,33.8607,,,
2006-03-08,,,,12.7928,9.55159,,,,,33.7589,,,
2006-03-09,,,,12.8821,9.51958,,,,,35.7987,,,
2006-03-10,,,,12.9926,9.55908,,,,,34.4528,,,
2006-03-13,,,,13.0431,9.59583,,,,,34.0881,,,
2006-03-14,,,,13.1837,9.38203,,,,,33.6752,,,
2006-03-15,,,,13.1565,9.3971,,,,,33.9207,,,
2006-03-16,,,,13.2294,9.3434,,,,,34.2436,,,
2006-03-17,,,,13.1371,8.43845,,,,,34.3628,,,
